Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Andorra,AND,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43.29828396,46.30108418,49.40824297,51.65000965,53.65395685,56.30077149,56.7495887,58.01406051,58.88401258,60.49271175,77.8792565,80.27835439,82.87899719,85.51246424,88.11411598,91.10656134,94.25628289,97.28306641,99.49561247,99.62708212,100,100.1967642,100.3716645,100.8218236,100.7371138,101.4025721,101.7552455,102.9117034,103.9536622,105.3827689,106.5565075,109.28314,113.9130867,121.0845999,#N/A
Andorra,AND,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.708549678,0.692338632,0.677545433,0.663957058,0.639068842,#N/A,#N/A,#N/A
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Andorra,AND,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.326243696,6.935148354,6.710768961,4.537232147,3.879858322,4.933121049,0.797177729,2.228160307,1.499553843,2.731979525,28.7415529,3.080535179,3.23953177,3.177484216,3.042423998,3.39610213,3.457184087,3.211227341,2.27433832,0.132136132,0.374313758,0.196764152,0.174556906,0.4484922,-0.084019317,0.660588959,0.347795382,1.136509343,1.01247848,1.374753508,1.113786074,2.558860694,4.236652265,6.295600824,#N/A
Andorra,AND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.845376564,0.950915534,0.924709623,0.924367447
Angola,AGO,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.29E-08,1.71E-07,9.86E-07,1.00E-05,0.000228303,0.004395968,0.215425784,0.421056206,0.586781184,3.858092819,19.98565352,41.24082082,100,193.9265669,258.7825821,368.4397585,431.5006739,450.0915879,537.2553056,447.1998176,591.5132966,779.4457079,836.0003392,859.7404425,890.354809,859.0286959,1046.075628,1282.640547,1643.923107,1959.342696,2170.228813,3012.792411,3425.864147,4029.485573,#N/A
Angola,AGO,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.030389175,0.094779522,0.193460515,0.659198151,2.710056772,6.656425128,13.68800533,26.53066017,37.08968976,44.10664987,48.41334489,52.8374259,57.23213385,65.32252011,73.56791855,80.93180084,79.64922434,81.62107903,80.52846768,81.90790682,97.73723248,115.9111481,130.8941193,145.3989105,171.1453705,203.688736,228.8709708,249.8151232,311.1856511
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.78378378,299.5098039,1378.527607,949.7925311,2666.450593,4145.105982,219.1767212,107.2848215,248.1959024,324.9968716,152.5610225,108.8974361,98.22414366,43.54210675,22.95351385,13.30521018,12.25149745,12.47582913,13.73028393,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,9.355972155,30.69441508,29.8444799,19.62893797,17.08095414,22.27153925,25.75429488,21.35529013,13.64410178,28.24049489
Angola,AGO,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.00743983,106.3099823,476.5157509,917.7834684,2175.978955,1825.495149,4800.531644,95.45302218,39.35934833,557.5011131,418.0189915,106.3521255,142.4782,93.92656691,33.44359479,42.37424926,17.11566514,4.308432212,19.36577356,-16.76214029,32.27046912,31.77146016,7.255749909,2.839724126,3.560884772,-3.518385346,21.77423559,22.61451403,28.16709326,19.18700383,10.76310528,38.82372184,13.71059402,17.61953772,#N/A
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.71E-08,2.45E-08,2.54E-08,2.56E-08,2.94E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,5.51E-08,2.51E-07,2.66E-06,5.95E-05,0.00275023,0.128029167,0.229040083,0.392823518,2.790706167,10.04054417,22.05786167,43.53020667,74.60630083,83.5413625,87.15914167,80.36807206,76.70614275,75.03335417,79.32816667,91.90572034,93.93475,95.46795542,96.51827948,98.30241686,120.0607017,163.6564341,165.9159507,252.8557477,364.825805,578.2587803,631.4419555,460.5675116,685.0202378,869.8461896
Antigua and Barbuda,ATG,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.91870015,58.6869009,60.40715114,61.80609234,64.02446195,65.97488318,68.22621515,69.95276179,71.8285568,73.2729192,74.36340504,75.91372079,76.89504581,76.52345502,78.321621,81.9845484,82.90611176,86.53204675,90.63139134,91.63814756,93.10941111,93.73198301,93.91264464,94.36049286,96.03859251,98.71631209,98.25412103,98.56072743,100,100.7184523,101.52427,106.5129295,113.4350517,118.8861456,#N/A
Antigua and Barbuda,ATG,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.33690091,2.312506036,2.254231316,2.223027049,2.24100686,2.234946606,2.220860075,2.193065267,2.162511166,2.132305761,2.162999117,2.158774604,2.195518401,2.201901436,2.174412524,2.274362737,2.338751972,2.440794818,2.449155056,2.579553843,2.368958473,2.329138279,2.233314991,2.142170191,2.132813881,2.152290939,#N/A
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.121287896,0.771779797,1.402796636,2.407658013,1.993530552,2.030077579,2.098751967,1.787785374,1.416052594,5.333806398,-0.550159996,3.370025402,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,1.431355982,0.625989707,2.062996385,7.531078346,5.067138654,#N/A
Antigua and Barbuda,ATG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.098410517,3.106537473,2.931233725,2.315853641,3.589241005,3.046368791,3.412407659,2.530620586,2.681516722,2.010847035,1.488252207,2.084783165,1.292684657,-0.483244128,2.349823301,4.676776805,1.124069567,4.373543659,4.737371574,1.110825072,1.605514289,0.668645512,0.192742786,0.476877446,1.7783922,2.788170374,-0.46820131,0.312054499,1.460290123,0.718452311,0.800069552,4.913760578,6.498856196,4.805475773,#N/A
