jurisdiction,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4743372630315123,0.4669588335672269,0.4491907050506333,0.4437204342812799,0.428991986340914,0.4206008840345196,0.4150550001782446,0.4174118956521763,0.4194348873215402,0.4445676627550828,0.4445676627550828,0.4533454825136699
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6670321883586194,0.6577356123045679,0.6490031230444848,0.6565363469964374,0.6478199350820704,0.6325534862048349,0.6286160433504023,0.7464637165947,0.6913938912545696,0.7156702680684882,0.6992210696867242,0.7045430449446156,0.7046681745314438,0.7076198589520437,0.6870824007208038,0.6597237381481903,0.6628430245661808,0.6991790454118023,0.6991790454118023,0.6997933543680376
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6530796233048863,0.6398347000687327,0.6562478048335125,0.6301355220278457,0.6349078856351387,0.6352208181688491,0.6449862472854119,0.6485693501318106,0.6333539060737038,0.6302695651796035,0.62310997091501,0.6172511780798486,0.6154154064805589,0.620410325851409,0.6126626368004479,0.5932514916424625,0.5963962796890399,0.5945165337494988,0.5945165337494988,0.5946117741960494
Denmark,0.0,0.0,0.0,0.4700848570662935,0.4663896715684774,0.4620925863532244,0.4919908896833048,0.4356792678527124,0.4435365161694107,0.4664295228392855,0.4870755483566732,0.5104838031164293,0.48894549948611,0.479189171648597,0.4311258196736738,0.4787176849327564,0.9025057997585918,0.9217084822112644,0.9160688832622088,0.9122794847848652,0.9119897911748656,0.9164678403364442,0.9077145429079342,0.9720648952698654,0.9391596030961362,0.9381405413727724,0.9295290972742886,0.9355567844536165,0.931867779052874,0.9395154041487972,0.9368572809044808,0.8954200883162512,0.9104999995886128,0.9394915596114014,0.9394915596114014,0.9528812023024252
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6955220287167515,0.6729276800765994,0.6691125004921304,0.6995490304941511,0.6879346097403115,0.7004058171238909,0.6872173152895281,0.7365413363212746,0.7028192918331188,0.6601832749452766,0.7151275741357817,0.7073755854660039,0.6804408779047576,0.6749945425314469,0.648838799536485,0.5483100345626342,0.6231236068301084,0.6243877767553545,0.547374579816083,0.4553340738630244,0.3381868197925792,0.4178862151744411,0.5385543274765701,0.5385543274765701,0.5399949673501021
Finland,0.0,0.6247664183482515,0.6027525343508224,0.6264192174598906,0.5788544911692295,0.5466303557014611,0.5472840621162086,0.4812866419252929,0.5006062714794736,0.5610715298899197,0.5497111433545353,0.5294439657975016,0.4815098805542012,0.4645312568175527,0.4084902809990948,0.4348015845146776,0.8623173200178647,0.8806354888716168,0.8776816485138371,0.8599859270126126,0.8727694331528372,0.8780598686597427,0.8721361314643157,0.905766912148349,0.885860233403887,0.9005406039713353,0.896069859574451,0.9089801202805388,0.9091383183959472,0.9104620140326006,0.9080831493813876,0.8749497671424871,0.880243860092145,0.9123049879031612,0.9123049879031612,0.9213378437027936
France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112978383766665,0.305181952007706,0.3181744865550541,0.3237411353955372,0.3088330638462207,0.3177784915371785,0.3135543956013016,0.3645156953723019,0.3423319442387625,0.5100565123188462,0.8815433847209816,0.8881640629588942,0.8938453508362613,0.8796700779920674,0.876233233563343,0.8535179547121723,0.856458462948142,0.8644788092679624,0.8644788092679624,0.8694686607952647
Fujian Province,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6857519094021596,0.7143620639393645,0.7514527397198156,0.7514527397198156,0.7514527397198156,0.1582448810449123,0.1582448810449123,0.0,0.0
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5315415164321369,0.5278294378471763,0.5528386308035371,0.5293010592795172,0.5213071860341199,0.5196221201861063,0.5325431224369069,0.5717970699371159,0.5488186381741212,0.5467881514963765,0.5344041256599144,0.5241790368746594,0.5150092913465447,0.5201189080412365,0.4814717594855889,0.4569580649428365,0.8700186492345513,0.8955768561031977,0.8955768561031977,0.8955768561031977
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6337211428965418,0.627375008812833,0.6450760063200682,0.6382343305859521,0.606485318063739,0.6177020992802748,0.6078175153431388,0.690288940565559,0.6934791920076333,0.6838327929281455,0.6374676425354112,0.6397636958423097,0.6595822487877839,0.6578994694637621,0.6096496895893849,0.5539387514454338,0.5785891805402591,0.5675039974067325,0.5675039974067325,0.6031916724710878
