year,ipcc_code,ecp_all_sectCO2_usd_k
2022,"Pulp, Paper, Print",17.35680155155528
2023,"Pulp, Paper, Print",16.776007993075225
2024,"Pulp, Paper, Print",13.628174007397927
1989,Non-Metallic Minerals,0.0
1990,Non-Metallic Minerals,0.0116534650946855
1991,Non-Metallic Minerals,0.0760534333496284
1992,Non-Metallic Minerals,0.1199443692720991
1993,Non-Metallic Minerals,0.1265818285324709
1994,Non-Metallic Minerals,0.1226381491447695
1995,Non-Metallic Minerals,0.1179816276731077
1996,Non-Metallic Minerals,0.1242867460822572
1997,Non-Metallic Minerals,0.1579635939381956
1998,Non-Metallic Minerals,0.1855721933645445
1999,Non-Metallic Minerals,0.1933370316574868
2000,Non-Metallic Minerals,0.2105661210244208
2001,Non-Metallic Minerals,0.1800315508354913
2002,Non-Metallic Minerals,0.1712577349518239
2003,Non-Metallic Minerals,0.1461449156558534
2004,Non-Metallic Minerals,0.1257329229454217
2005,Non-Metallic Minerals,3.465389240052442
2006,Non-Metallic Minerals,2.7049634098267767
2007,Non-Metallic Minerals,0.1822006146592573
2008,Non-Metallic Minerals,2.457479800533286
2009,Non-Metallic Minerals,1.4642384980281915
2010,Non-Metallic Minerals,1.507147561538407
2011,Non-Metallic Minerals,1.285968753063944
2012,Non-Metallic Minerals,0.7818432970222684
2013,Non-Metallic Minerals,0.5010731721713261
2014,Non-Metallic Minerals,0.6626268954347703
2015,Non-Metallic Minerals,0.8390929464204523
2016,Non-Metallic Minerals,0.7437369786297165
2017,Non-Metallic Minerals,0.8128412869083111
2018,Non-Metallic Minerals,1.5772126814343304
2019,Non-Metallic Minerals,2.4286259260321783
2020,Non-Metallic Minerals,2.2273593990487024
2021,Non-Metallic Minerals,4.3482638334006705
2022,Non-Metallic Minerals,5.7644683359968445
2023,Non-Metallic Minerals,5.398905892910746
2024,Non-Metallic Minerals,4.211038034091716
1989,Machinery,0.0
1990,Machinery,0.0044330239663533
1991,Machinery,0.1090872800535888
1992,Machinery,0.1432878480353955
1993,Machinery,0.2195467826865964
1994,Machinery,0.2224375053749074
1995,Machinery,0.1587356083202271
1996,Machinery,0.167022599841413
1997,Machinery,0.2246667956867355
1998,Machinery,0.2588469261834626
1999,Machinery,0.279418275857462
2000,Machinery,0.2639451292351722
2001,Machinery,0.2178127279442659
2002,Machinery,0.2136677553001456
2003,Machinery,0.2668284789158823
2004,Machinery,0.2378966235779301
2005,Machinery,5.76707365991026
2006,Machinery,4.145150847815842
2007,Machinery,0.262177862228914
2008,Machinery,3.5952095527162604
2009,Machinery,2.5119551878632658
2010,Machinery,2.664774115244007
2011,Machinery,2.247104752507625
2012,Machinery,1.4567634239075578
2013,Machinery,0.96015409070227
2014,Machinery,1.3354894720814827
2015,Machinery,1.8941280901004016
