Jurisdiction,Year,IPCC_cat_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price,tax_curr_code,ets_curr_code,tax_rate_incl_ex_clcu_USD,ets_price_USD,tax_rate_incl_ex_clcu_2019USD,ets_price_2019USD,tax_curr_x_rate,ets_curr_x_rate
Denmark,1989,1A3B,ABFLOW028,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3B,ABFLOW028,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3C,ABFLOW030,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3C,ABFLOW030,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3C,ABFLOW030,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3D,,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3D,,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3D,,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3D1,ABFLOW039,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3D1,ABFLOW039,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3D1,ABFLOW039,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3D2,ABFLOW032,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3D2,ABFLOW032,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3D2,ABFLOW032,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3E,,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3E,,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3E,,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3E1,ABFLOW033,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3E1,ABFLOW033,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A3E1,ABFLOW033,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4,,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4,,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4,,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4A,ABFLOW035,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4A,ABFLOW035,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4A,ABFLOW035,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4B,ABFLOW034,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4B,ABFLOW034,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4B,ABFLOW034,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C,,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C,,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C,,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C1,ABFLOW036,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C1,ABFLOW036,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C1,ABFLOW036,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C2,ABFLOW037,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C2,ABFLOW037,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C2,ABFLOW037,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C3,,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C3,,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A4C3,,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5,ABFLOW038,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5,ABFLOW038,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5,ABFLOW038,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5A,,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5A,,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5A,,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5B,,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5B,,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5B,,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5C,,Coal/peat,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5C,,Natural gas,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1A5C,,Oil,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1A1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1A11,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1A12,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1A13,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1A14,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1A2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1A21,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1A22,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B1B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2A1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2A2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2A3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2A31,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2A32,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2A33,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2A34,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2A35,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2A36,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2B1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2B2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
