jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Guangdong Province,1989,2B9A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2B9B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2C,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2C1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2C2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2C3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2C4,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2C5,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2C6,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2C7,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2D,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2D1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2D2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2D3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2D4,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2E,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2F,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2F1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2F2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2F3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2F4,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2F5,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2F6,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2G,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2G1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2G2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2G3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2G4,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2H,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2H1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2H2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,2H3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3A1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3A2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B1A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B1B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B2A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B2B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B3A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B3B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B4,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B4A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B4B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B5,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B5A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B5B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B6,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B6A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B6B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B6B1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B6B2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B6B3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B6B4,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3B6B5,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3C,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3C1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3C2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3C3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3C4,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3C5,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3C6,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3C7,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3C8,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3D,,,,,,,,,,,,,,,,,
