jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_usd_k,ets_price_usd_k,ets_2_price_usd_k,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Sweden,1990,1A2H,ABFLOW021,Natural gas,,,,,,,,,,,,,,,
Sweden,1990,1A2H,ABFLOW021,Oil,,,,,,,,,,,,,,,
Sweden,1990,1A2I,ABFLOW013,Coal,,,,,,,,,,,,,,,
Sweden,1990,1A2I,ABFLOW013,Natural gas,,,,,,,,,,,,,,,
Sweden,1990,1A2I,ABFLOW013,Oil,,,,,,,,,,,,,,,
Sweden,1990,1A2J,ABFLOW024,Coal,,,,,,,,,,,,,,,
Sweden,1990,1A2J,ABFLOW024,Natural gas,,,,,,,,,,,,,,,
Sweden,1990,1A2J,ABFLOW024,Oil,,,,,,,,,,,,,,,
Sweden,1990,1A2K,ABFLOW014,Coal,,,,,,,,,,,,,,,
Sweden,1990,1A2K,ABFLOW014,Natural gas,,,,,,,,,,,,,,,
Sweden,1990,1A2K,ABFLOW014,Oil,,,,,,,,,,,,,,,
Sweden,1990,1A2L,ABFLOW025,Coal,,,,,,,,,,,,,,,
Sweden,1990,1A2L,ABFLOW025,Natural gas,,,,,,,,,,,,,,,
Sweden,1990,1A2L,ABFLOW025,Oil,,,,,,,,,,,,,,,
Sweden,1990,1A2M,ABFLOW026,Coal,,,,,,,,,,,,,,,
Sweden,1990,1A2M,ABFLOW026,Natural gas,,,,,,,,,,,,,,,
Sweden,1990,1A2M,ABFLOW026,Oil,,,,,,,,,,,,,,,
Sweden,1990,1A3,ABFLOW027,Coal,,,,,,,,,,,,,,,
Sweden,1990,1A3,ABFLOW027,Natural gas,,,,,,,,,,,,,,,
Sweden,1990,1A3,ABFLOW027,Oil,,,,,,,,,,,,,,,
Sweden,1990,1A3A,,Coal,,,,,,,,,,,,,,,
Sweden,1990,1A3A,,Natural gas,,,,,,,,,,,,,,,
Sweden,1990,1A3A,,Oil,,,,,,,,,,,,,,,
Sweden,1990,1A3A1,ABFLOW040,Coal,,,,,,,,,,,,,,,
Sweden,1990,1A3A1,ABFLOW040,Natural gas,,,,,,,,,,,,,,,
Sweden,1990,1A3A1,ABFLOW040,Oil,,,,,,,,,,,,,,,
Sweden,1990,1A3A2,ABFLOW029,Coal,,,,,,,,,,,,,,,
Sweden,1990,1A3A2,ABFLOW029,Natural gas,,,,,,,,,,,,,,,
Sweden,1990,1A3A2,ABFLOW029,Oil,,,,,,,,,,,,,,,
