jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Norway,1994,2G,,,,,,,,,,,,,,,,,
Norway,1994,2G1,,,,,,,,,,,,,,,,,
Norway,1994,2G2,,,,,,,,,,,,,,,,,
Norway,1994,2G3,,,,,,,,,,,,,,,,,
Norway,1994,2G4,,,,,,,,,,,,,,,,,
Norway,1994,2H,,,,,,,,,,,,,,,,,
Norway,1994,2H1,,,,,,,,,,,,,,,,,
Norway,1994,2H2,,,,,,,,,,,,,,,,,
Norway,1994,2H3,,,,,,,,,,,,,,,,,
Norway,1994,3,,,,,,,,,,,,,,,,,
Norway,1994,3A,,,,,,,,,,,,,,,,,
Norway,1994,3A1,,,,,,,,,,,,,,,,,
Norway,1994,3A2,,,,,,,,,,,,,,,,,
Norway,1994,3B,,,,,,,,,,,,,,,,,
Norway,1994,3B1,,,,,,,,,,,,,,,,,
Norway,1994,3B1A,,,,,,,,,,,,,,,,,
Norway,1994,3B1B,,,,,,,,,,,,,,,,,
Norway,1994,3B2,,,,,,,,,,,,,,,,,
Norway,1994,3B2A,,,,,,,,,,,,,,,,,
Norway,1994,3B2B,,,,,,,,,,,,,,,,,
Norway,1994,3B3,,,,,,,,,,,,,,,,,
Norway,1994,3B3A,,,,,,,,,,,,,,,,,
Norway,1994,3B3B,,,,,,,,,,,,,,,,,
Norway,1994,3B4,,,,,,,,,,,,,,,,,
Norway,1994,3B4A,,,,,,,,,,,,,,,,,
Norway,1994,3B4B,,,,,,,,,,,,,,,,,
Norway,1994,3B5,,,,,,,,,,,,,,,,,
Norway,1994,3B5A,,,,,,,,,,,,,,,,,
Norway,1994,3B5B,,,,,,,,,,,,,,,,,
Norway,1994,3B6,,,,,,,,,,,,,,,,,
Norway,1994,3B6A,,,,,,,,,,,,,,,,,
Norway,1994,3B6B,,,,,,,,,,,,,,,,,
Norway,1994,3B6B1,,,,,,,,,,,,,,,,,
Norway,1994,3B6B2,,,,,,,,,,,,,,,,,
Norway,1994,3B6B3,,,,,,,,,,,,,,,,,
Norway,1994,3B6B4,,,,,,,,,,,,,,,,,
Norway,1994,3B6B5,,,,,,,,,,,,,,,,,
Norway,1994,3C,,,,,,,,,,,,,,,,,
Norway,1994,3C1,,,,,,,,,,,,,,,,,
Norway,1994,3C2,,,,,,,,,,,,,,,,,
Norway,1994,3C3,,,,,,,,,,,,,,,,,
Norway,1994,3C4,,,,,,,,,,,,,,,,,
Norway,1994,3C5,,,,,,,,,,,,,,,,,
Norway,1994,3C6,,,,,,,,,,,,,,,,,
Norway,1994,3C7,,,,,,,,,,,,,,,,,
Norway,1994,3C8,,,,,,,,,,,,,,,,,
Norway,1994,3D,,,,,,,,,,,,,,,,,
Norway,1994,3D1,,,,,,,,,,,,,,,,,
Norway,1994,3D2,,,,,,,,,,,,,,,,,
Norway,1994,4,,,,,,,,,,,,,,,,,
Norway,1994,4A,,,,,,,,,,,,,,,,,
Norway,1994,4A1,,,,,,,,,,,,,,,,,
Norway,1994,4A2,,,,,,,,,,,,,,,,,
Norway,1994,4A3,,,,,,,,,,,,,,,,,
Norway,1994,4B,,,,,,,,,,,,,,,,,
Norway,1994,4C,,,,,,,,,,,,,,,,,
Norway,1994,4C1,,,,,,,,,,,,,,,,,
Norway,1994,4C2,,,,,,,,,,,,,,,,,
Norway,1994,4D,,,,,,,,,,,,,,,,,
Norway,1994,4D1,,,,,,,,,,,,,,,,,
Norway,1994,4D2,,,,,,,,,,,,,,,,,
Norway,1994,4E,,,,,,,,,,,,,,,,,
Norway,1994,5,,,,,,,,,,,,,,,,,
Norway,1994,5A,,,,,,,,,,,,,,,,,
Norway,1994,5A1,,,,,,,,,,,,,,,,,
Norway,1994,5A2,,,,,,,,,,,,,,,,,
Norway,1995,0,,,,,,,,,,,,,,,,,
Norway,1995,1,,,,,,,,,,,,,,,,,
Norway,1995,1A,ABFLOW001,Coal,,,,,,,,,,,,,,,
Norway,1995,1A,ABFLOW001,Natural gas,,,,,,,,,,,,,,,
Norway,1995,1A,ABFLOW001,Oil,,,,,,,,,,,,,,,
Norway,1995,1A1,,Coal,,,,,,,,,,,,,,,
