jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd_k,ets_price_usd_k,ets_2_price_usd_k,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Finland,1989,1B2A36,,,,,,,,,,,,,,
Finland,1989,1B2B,,,,,,,,,,,,,,
Finland,1989,1B2B1,,,,,,,,,,,,,,
Finland,1989,1B2B2,,,,,,,,,,,,,,
Finland,1989,1B2B3,,,,,,,,,,,,,,
Finland,1989,1B2B31,,,,,,,,,,,,,,
Finland,1989,1B2B32,,,,,,,,,,,,,,
Finland,1989,1B2B33,,,,,,,,,,,,,,
Finland,1989,1B2B34,,,,,,,,,,,,,,
Finland,1989,1B2B35,,,,,,,,,,,,,,
Finland,1989,1B2B36,,,,,,,,,,,,,,
Finland,1989,1B3,,,,,,,,,,,,,,
Finland,1989,1C,,,,,,,,,,,,,,
Finland,1989,1C1,,,,,,,,,,,,,,
Finland,1989,1C1A,,,,,,,,,,,,,,
Finland,1989,1C1B,,,,,,,,,,,,,,
Finland,1989,1C1C,,,,,,,,,,,,,,
Finland,1989,1C2,,,,,,,,,,,,,,
Finland,1989,1C2A,,,,,,,,,,,,,,
Finland,1989,1C2B,,,,,,,,,,,,,,
Finland,1989,1C3,,,,,,,,,,,,,,
Finland,1989,2,,,,,,,,,,,,,,
Finland,1989,20,,,,,,,,,,,,,,
Finland,1989,200,,,,,,,,,,,,,,
Finland,1989,2000,,,,,,,,,,,,,,
Finland,1989,20000,,,,,,,,,,,,,,
Finland,1989,200000,,,,,,,,,,,,,,
Finland,1989,2A,,,,,,,,,,,,,,
Finland,1989,2A1,,,,,,,,,,,,,,
Finland,1989,2A2,,,,,,,,,,,,,,
Finland,1989,2A3,,,,,,,,,,,,,,
Finland,1989,2A4,,,,,,,,,,,,,,
Finland,1989,2A4A,,,,,,,,,,,,,,
Finland,1989,2A4B,,,,,,,,,,,,,,
Finland,1989,2A4C,,,,,,,,,,,,,,
Finland,1989,2A4D,,,,,,,,,,,,,,
Finland,1989,2B,,,,,,,,,,,,,,
Finland,1989,2B1,,,,,,,,,,,,,,
Finland,1989,2B10,,,,,,,,,,,,,,
Finland,1989,2B2,,,,,,,,,,,,,,
Finland,1989,2B3,,,,,,,,,,,,,,
Finland,1989,2B4,,,,,,,,,,,,,,
Finland,1989,2B5,,,,,,,,,,,,,,
Finland,1989,2B6,,,,,,,,,,,,,,
Finland,1989,2B7,,,,,,,,,,,,,,
Finland,1989,2B8,,,,,,,,,,,,,,
Finland,1989,2B8A,,,,,,,,,,,,,,
Finland,1989,2B8B,,,,,,,,,,,,,,
Finland,1989,2B8C,,,,,,,,,,,,,,
Finland,1989,2B8D,,,,,,,,,,,,,,
Finland,1989,2B8E,,,,,,,,,,,,,,
Finland,1989,2B8F,,,,,,,,,,,,,,
Finland,1989,2B9,,,,,,,,,,,,,,
Finland,1989,2B9A,,,,,,,,,,,,,,
Finland,1989,2B9B,,,,,,,,,,,,,,
Finland,1989,2C,,,,,,,,,,,,,,
Finland,1989,2C1,,,,,,,,,,,,,,
Finland,1989,2C2,,,,,,,,,,,,,,
Finland,1989,2C3,,,,,,,,,,,,,,
Finland,1989,2C4,,,,,,,,,,,,,,
Finland,1989,2C5,,,,,,,,,,,,,,
Finland,1989,2C6,,,,,,,,,,,,,,
Finland,1989,2C7,,,,,,,,,,,,,,
Finland,1989,2D,,,,,,,,,,,,,,
Finland,1989,2D1,,,,,,,,,,,,,,
Finland,1989,2D2,,,,,,,,,,,,,,
Finland,1989,2D3,,,,,,,,,,,,,,
Finland,1989,2D4,,,,,,,,,,,,,,
Finland,1989,2E,,,,,,,,,,,,,,
Finland,1989,2F,,,,,,,,,,,,,,
Finland,1989,2F1,,,,,,,,,,,,,,
Finland,1989,2F2,,,,,,,,,,,,,,
Finland,1989,2F3,,,,,,,,,,,,,,
Finland,1989,2F4,,,,,,,,,,,,,,
Finland,1989,2F5,,,,,,,,,,,,,,
Finland,1989,2F6,,,,,,,,,,,,,,
Finland,1989,2G,,,,,,,,,,,,,,
Finland,1989,2G1,,,,,,,,,,,,,,
Finland,1989,2G2,,,,,,,,,,,,,,
Finland,1989,2G3,,,,,,,,,,,,,,
Finland,1989,2G4,,,,,,,,,,,,,,
Finland,1989,2H,,,,,,,,,,,,,,
Finland,1989,2H1,,,,,,,,,,,,,,
Finland,1989,2H2,,,,,,,,,,,,,,
Finland,1989,2H3,,,,,,,,,,,,,,
Finland,1989,3,,,,,,,,,,,,,,
Finland,1989,3A,,,,,,,,,,,,,,
Finland,1989,3A1,,,,,,,,,,,,,,
Finland,1989,3A2,,,,,,,,,,,,,,
Finland,1989,3B,,,,,,,,,,,,,,
Finland,1989,3B1,,,,,,,,,,,,,,
