ipcc_code,year,ecp_ets_sectCO2_usd_k,ecp_tax_sectCO2_usd_k,ecp_all_sectCO2_usd_k
1A2C,2004,0.0,0.2613911621760012,0.2613911621760012
1A2C,2005,3.798734880742863,0.21316514436533945,4.011900025108202
1A2C,2006,2.8913650688835424,0.2071510210821805,3.098516089965723
1A2C,2007,0.11956253698281444,0.17106741009831902,0.29062994708113343
1A2C,2008,3.0604754101400657,0.04720251349845753,3.1076779236385232
1A2C,2009,2.072973907525848,0.044410447603321586,2.1173843551291696
1A2C,2010,1.9687490568235417,0.03896382587788466,2.0077128827014263
1A2C,2011,1.8707365096267257,0.030371150647413782,1.9011076602741392
1A2C,2012,1.0415714030567493,0.19793603832225792,1.2395074413790073
1A2C,2013,0.6197431376340036,0.17450590363844437,0.7942490412724479
1A2C,2014,0.8437423520236488,0.22303739918769327,1.066779751211342
1A2C,2015,1.0333457292287334,0.12093691749776747,1.1542826467265008
1A2C,2016,0.8363476974761405,0.1617247397070806,0.998072437183221
1A2C,2017,0.9719912418585106,0.16988328562185717,1.1418745274803679
1A2C,2018,2.254067588606195,0.17306219214564428,2.4271297807518395
1A2C,2019,3.5299486258598205,0.31809755365281955,3.8480461795126404
1A2C,2020,3.500053862743019,0.3017296834948114,3.8017835462378304
1A2C,2021,7.686447505577524,0.3916535334382092,8.078101039015733
1A2C,2022,8.984498250745128,0.30638693546010526,9.290885186205234
1A2C,2023,8.504995551008635,0.30162193511314905,8.806617486121786
1A2C,2024,6.578318427141581,0.49342707666762753,7.0717455038092085
1A2D,1989,0.0,0.0,0.0
1A2D,1990,0.0,0.05920785920769103,0.05920785920769103
1A2D,1991,0.0,0.33502895989824494,0.33502895989824494
1A2D,1992,0.0,0.3793400108037874,0.3793400108037874
1A2D,1993,0.0,0.5333634608417284,0.5333634608417284
1A2D,1994,0.0,0.9988870080765937,0.9988870080765937
1A2D,1995,0.0,0.6337493267408748,0.6337493267408748
1A2D,1996,0.0,0.8391007025085458,0.8391007025085458
